,control,['state']
359,-8,Light
360,4,Light
361,9,Light
362,4,Light
363,60,Light
364,11,Light
365,-1,Light
366,-36,Light
367,-9,Light
368,19,Light
369,-70,Light
370,-15,Light
371,-9,Light
372,21,Light
373,8,Light
374,21,Light
375,-28,Light
376,-9,Light
377,-18,Light
378,13,Light
379,9,Light
380,8,Light
381,11,Light
382,-9,Light
383,-6,Light
384,9,Light
385,-3,Light
386,1,Light
387,69,Light
388,10,Light
389,56,Light
390,5,Light
391,-11,Light
392,-2,Light
393,-6,Light
394,19,Light
395,6,Light
396,-44,Light
397,-6,Light
398,-3,Light
399,-11,Light
400,-13,Light
401,-7,Light
402,2,Light
403,-70,Light
404,-6,Light
405,13,Light
406,56,Light
407,-11,Light
408,56,Light
409,7,Light
410,-18,Light
411,56,Light
412,-31,Light
413,6,Light
414,-12,Light
415,-4,Light
416,13,Light
417,5,Light
418,-9,Light
419,-11,Light
420,16,Light
421,14,Light
422,-17,Light
423,9,Light
424,-6,Light
425,-6,Light
426,-11,Light
427,15,Light
428,10,Light
429,14,Light
430,-16,Light
431,-5,Light
432,21,Light
433,-16,Light
434,113,Light
435,-14,Light
436,-11,Light
437,-7,Light
438,13,Light
439,9,Light
440,11,Light
441,-15,Light
442,5,Light
443,-9,Light
444,19,Light
445,56,Light
446,-6,Light
447,-4,Light
448,15,Light
449,2,Light
450,13,Light
451,1,Light
452,-11,Light
453,-95,Light
454,-70,Light
455,9,Light
456,10,Light
457,3,Light
458,23,Light
459,15,Light
460,-84,Light
461,15,Light
462,8,Light
463,-4,Light
464,10,Light
465,7,Light
466,-16,Light
467,-31,Light
468,-70,Light
469,11,Light
470,26,Light
471,-14,Light
472,11,Light
473,-70,Light
474,56,Light
475,-6,Light
476,-9,Light
477,13,Light
478,15,Light
479,14,Light
480,-14,Light
481,18,Light
482,-70,Light
483,56,Light
484,-9,Light
485,8,Light
486,4,Light
487,-6,Light
488,15,Light
489,-11,Light
490,113,Light
491,-70,Light
492,17,Light
493,10,Light
494,-16,Light
495,6,Light
496,-12,Light
497,1,Light
498,14,Light
499,-6,Light
500,7,Light
501,9,Light
502,17,Light
503,-12,Light
504,115,Light
505,20,Light
506,-9,Light
507,-14,Light
508,13,Light
509,11,Light
510,10,Light
511,-70,Light
512,10,Light
513,-3,Light
514,-16,Light
515,-25,Light
516,14,Light
517,-29,Light
518,3,Light
519,-2,Light
520,-70,Light
521,18,Light
522,1,Light
523,13,Light
524,14,Light
525,-22,Light
526,-15,Light
527,-3,Light
528,-9,Light
529,-70,Light
530,-74,Light
531,-11,Light
532,-11,Light
533,14,Light
534,-14,Light
535,21,Light
536,-10,Light
537,16,Light
538,-11,Light
539,21,Light
540,1,Light
541,22,Light
542,38,Light
543,-11,Light
544,-9,Light
545,-23,Light
546,-25,Light
547,-4,Light
548,-20,Light
549,-20,Light
550,-19,Light
551,-22,Light
552,-21,Light
553,-21,Light
554,-25,Light
555,-26,Light
556,-23,Light
557,-23,Light
558,-26,Light
559,-26,Light
560,-21,Light
561,-26,Light
562,-26,Light
563,-21,Light
564,-22,Light
565,-22,Light
566,-27,Light
567,-22,Light
568,-23,Light
569,1,Light
570,-37,Light
571,-22,Light
572,-23,Light
573,-7,Light
574,-25,Light
575,-26,Light
576,-25,Light
577,0,Light
578,-4,Light
579,-27,Light
580,-21,Light
581,-26,Light
582,-21,Light
583,-22,Light
584,-21,Light
585,-23,Light
586,-26,Light
587,-12,Light
588,-25,Light
589,-25,Light
590,-24,Light
591,-22,Light
592,-25,Light
593,-23,Light
594,-17,Light
595,-28,Light
596,-27,Light
597,-23,Light
598,-22,Light
599,-21,Light
600,-23,Light
601,-22,Light
602,-23,Light
603,-22,Light
604,-25,Light
605,-23,Light
606,-42,Light
607,-31,Light
608,-31,Light
609,-9,Light
610,-24,Light
611,-8,Light
612,-25,Light
613,-24,Light
614,-23,Light
615,-27,Light
616,-21,Light
617,-23,Light
618,-28,Light
619,-23,Light
620,-22,Light
621,-22,Light
622,-24,Light
623,-15,Light
624,-28,Light
625,-24,Light
626,-24,Light
627,-26,Light
628,-24,Light
629,-8,Light
630,-21,Light
631,-21,Light
632,-28,Light
633,-21,Light
634,-23,Light
635,-3,Light
636,-10,Light
637,-22,Light
638,-22,Light
639,-26,Light
640,-24,Light
641,-23,Light
642,-16,Light
643,-23,Light
644,-23,Light
645,-2,Light
646,-24,Light
647,-29,Light
648,87,Light
649,557,Light
650,823,Light
651,None,Light
652,None,Light
653,None,Light
654,None,Light
655,None,Light
656,None,Light
657,5,Lane
658,7,Lane
659,7,Lane
660,6,Lane
661,10,Lane
662,7,Lane
663,8,Lane
664,9,Lane
665,11,Lane
666,10,Lane
667,10,Lane
668,11,Lane
669,10,Lane
670,10,Lane
671,10,Lane
672,10,Lane
673,10,Lane
674,10,Lane
675,10,Lane
676,10,Lane
677,10,Lane
678,10,Lane
679,10,Lane
680,10,Lane
681,10,Lane
682,10,Lane
683,10,Lane
684,10,Lane
685,10,Lane
686,10,Lane
687,10,Lane
688,10,Lane
689,10,Lane
690,10,Lane
691,10,Lane
692,10,Lane
693,10,Lane
694,10,Lane
695,10,Lane
696,10,Lane
697,10,Lane
698,10,Lane
699,10,Lane
700,10,Lane
701,10,Lane
702,10,Lane
703,10,Lane
704,10,Lane
705,10,Lane
706,10,Lane
707,10,Lane
708,10,Lane
709,10,Lane
710,10,Lane
711,10,Lane
712,10,Lane
713,10,Lane
714,10,Lane
715,10,Lane
716,10,Lane
717,10,Lane
718,10,Lane
719,10,Lane
720,10,Lane
721,10,Lane
722,10,Lane
723,10,Lane
724,10,Lane
725,10,Lane
726,10,Lane
727,10,Lane
728,10,Lane
729,10,Lane
730,10,Lane
731,10,Lane
732,10,Lane
733,10,Lane
734,10,Lane
735,12,Lane
736,10,Lane
737,10,Lane
738,10,Lane
739,10,Lane
740,11,Lane
741,10,Lane
742,10,Lane
743,10,Lane
744,10,Lane
745,10,Lane
746,10,Lane
747,10,Lane
748,10,Lane
749,10,Lane
750,10,Lane
751,10,Lane
752,10,Lane
753,10,Lane
754,11,Lane
755,10,Lane
756,10,Lane
757,10,Lane
758,10,Lane
759,10,Lane
760,10,Lane
761,10,Lane
762,10,Lane
763,10,Lane
764,10,Lane
765,10,Lane
766,10,Lane
767,10,Lane
768,10,Lane
769,10,Lane
770,10,Lane
771,10,Lane
772,10,Lane
773,10,Lane
774,10,Lane
775,10,Lane
776,10,Lane
777,10,Lane
778,10,Lane
779,10,Lane
780,10,Lane
781,10,Lane
782,10,Lane
783,10,Lane
784,10,Lane
785,10,Lane
786,10,Lane
787,10,Lane
788,10,Lane
789,10,Lane
790,10,Lane
791,10,Lane
792,10,Lane
793,9,Lane
794,9,Lane
795,7,Lane
796,5,Lane
797,7,Lane
798,0,Lane
799,-1,Lane
800,-3,Lane
801,1,Lane
802,-1,Lane
