Time,LH,LS,LV,HH,HS,HV,grayRead,blueRead,greenRead,redRead
11/05/2023 16:10:39,50,125,57,90,255,255,64.85210243055556,64.57143489583333,65.9022234157986,62.830924262152784
11/05/2023 16:28:23,49,102,47,90,255,255,78.60812434895834,78.04129361979167,79.62807085503474,76.76290310329861
11/05/2023 16:31:58,49,69,57,90,255,255,85.00553559027776,83.24825314670139,86.23320486111112,83.1929976128472
11/05/2023 16:33:58,49,73,59,90,255,255,91.09877940538193,87.2515476345486,92.71550358072915,89.31476898871526
11/05/2023 16:34:44,49,62,62,90,255,255,99.83598133680555,96.73770703125,101.22202549913193,98.2175202907986
11/05/2023 16:36:31,49,57,82,90,255,255,111.3840915798611,109.77308181423611,112.44275466579862,109.8596404079861
11/05/2023 16:38:11,49,52,80,90,255,255,120.79089637586806,118.08265972222223,122.00223828124999,119.38737977430556
11/05/2023 16:40:16,49,45,68,90,255,255,129.93309016927086,127.30672211371528,131.17714670138886,128.44376323784724
11/05/2023 16:41:03,49,52,80,90,255,255,142.14783051215278,137.14865668402777,143.71637337239585,140.93272102864586
11/05/2023 16:41:56,49,43,80,90,255,255,150.7311246744792,144.95724088541664,152.4467756076389,149.52814333767364
11/05/2023 16:46:54,49,61,75,90,255,255,160.33278884548608,153.85858105468748,162.15730946180557,159.18632465277778
11/05/2023 16:48:45,49,49,90,90,255,255,170.58222113715277,163.20294683159722,172.52145692274306,169.5603100043403
11/05/2023 16:50:45,51,49,120,94,255,255,182.59325900607638,177.69081651475696,184.08832052951385,181.49186729600697
11/05/2023 16:52:47,51,66,73,96,255,255,193.11605935329862,184.4546962890625,195.2042556423611,192.28062489149303
11/05/2023 16:54:12,52,38,54,96,255,255,202.0455634765625,196.3153937717014,203.54506759982638,201.2585698784722
11/05/2023 16:58:39,52,49,75,97,255,255,210.62159559461807,205.54164181857635,211.99406966145835,209.83854242621527
11/05/2023 16:59:07,52,47,75,97,255,255,219.30281727430557,213.50496885850694,220.8323758680556,218.4885167100694
11/05/2023 16:59:50,47,33,130,97,255,255,230.18336751302087,229.43857194010417,230.78660210503475,229.26859678819443
11/05/2023 16:59:53,47,33,130,97,255,255,230.20581922743057,229.27518164062496,230.84174869791664,229.29691460503466
11/05/2023 17:03:06,47,36,68,97,255,255,239.45575466579857,239.34709103732638,239.86203483072913,238.681408094618
11/05/2023 17:13:32,51,106,50,85,255,255,34.684574652777776,31.376437717013893,35.93702322048612,33.42713585069444
