,ScreenX,ScreenY,TurtlebotX,TurtlebotY
0,673,425,5.366865999444998,0.2115558171793001
1,809,389,5.540636181584895,-0.1716683341689415
2,595,265,6.366857051849365,0.422376438975334
3,717,569,4.838916540712374,0.126084538130587
4,897,300,6.102685337775167,-0.5254006104386085
5,986,400,5.466176273710783,-0.6030557825607621
6,773,215,6.9163455957459785,-0.25003289248029814
7,728,287,6.23205887788691,-0.014065066065740968
8,579,206,7.012208223342895,0.5015806555747986
9,646,158,7.712389111946449,0.20248535707784643
